날짜,지점,강수량(mm),,,,,,,,,,,0
2018.5.23,115,22.2,,,,,,,,,,,
2018.5.24,115,,,,,,,,,,,,
2018.5.25,115,,,,,,,,,,,,
2018.5.26,115,,,,,,,,,,,,
2018.5.27,115,,,,,,,,,,,,
2018.5.28,115,,,,,,,,,,,,
2018.5.29,115,,,,,,,,,,,,
2018.5.30,115,4.5,,,,,,,,,,,
2018.5.31,115,,,,,,,,,,,,
2018.6.1,115,,,,,,,,,,,,
2018.6.2,115,,,,,,,,,,,,
2018.6.3,115,,,,,,,,,,,,
2018.6.4,115,,,,,,,,,,,,
2018.6.5,115,0,,,,,,,,,,,
2018.6.6,115,,,,,,,,,,,,
2018.6.7,115,,,,,,,,,,,,
2018.6.8,115,,,,,,,,,,,,
2018.6.9,115,0,,,,,,,,,,,
2018.6.10,115,0,,,,,,,,,,,
2018.6.11,115,12.6,,,,,,,,,,,
2018.6.12,115,0,,,,,,,,,,,
2018.6.13,115,,,,,,,,,,,,
2018.6.14,115,,,,,,,,,,,,
2018.6.15,115,0,,,,,,,,,,,
2018.6.16,115,,,,,,,,,,,,
2018.6.17,115,,,,,,,,,,,,
2018.6.18,115,,,,,,,,,,,,
2018.6.19,115,,,,,,,,,,,,
2018.6.20,115,,,,,,,,,,,,
2018.6.21,115,,,,,,,,,,,,
2018.6.22,115,,,,,,,,,,,,
2018.6.23,115,,,,,,,,,,,,
2018.6.24,115,,,,,,,,,,,,
2018.6.25,115,,,,,,,,,,,,
2018.6.26,115,42.4,,,,,,,,,,,
2018.6.27,115,8.7,,,,,,,,,,,
2018.6.28,115,,,,,,,,,,,,
2018.6.29,115,0,,,,,,,,,,,
2018.6.30,115,1.3,,,,,,,,,,,
2018.7.1,115,6.2,,,,,,,,,,,
2018.7.2,115,4.8,,,,,,,,,,,
2018.7.3,115,25.6,,,,,,,,,,,
2018.7.4,115,39.3,,,,,,,,,,,
2018.7.5,115,50.9,,,,,,,,,,,
2018.7.6,115,25.5,,,,,,,,,,,
2018.7.7,115,1,,,,,,,,,,,
2018.7.8,115,2.1,,,,,,,,,,,
2018.7.9,115,8.5,,,,,,,,,,,
2018.7.10,115,12.4,,,,,,,,,,,
2018.7.11,115,8.6,,,,,,,,,,,
2018.7.12,115,,,,,,,,,,,,
2018.7.13,115,,,,,,,,,,,,
2018.7.14,115,,,,,,,,,,,,
2018.7.15,115,,,,,,,,,,,,
2018.7.16,115,,,,,,,,,,,,
2018.7.17,115,,,,,,,,,,,,
2018.7.18,115,,,,,,,,,,,,
2018.7.19,115,,,,,,,,,,,,
2018.7.20,115,,,,,,,,,,,,
2018.7.21,115,,,,,,,,,,,,
2018.7.22,115,,,,,,,,,,,,
2018.7.23,115,,,,,,,,,,,,
2018.7.24,115,,,,,,,,,,,,
2018.7.25,115,,,,,,,,,,,,
2018.7.26,115,,,,,,,,,,,,
2018.7.27,115,,,,,,,,,,,,
2018.7.28,115,,,,,,,,,,,,
2018.7.29,115,0,,,,,,,,,,,
2018.7.30,115,,,,,,,,,,,,
2018.7.31,115,,,,,,,,,,,,
2018.8.1,115,,,,,,,,,,,,
2018.8.2,115,,,,,,,,,,,,
2018.8.3,115,,,,,,,,,,,,
2018.8.4,115,,,,,,,,,,,,
2018.8.5,115,,,,,,,,,,,,
2018.8.6,115,15.6,,,,,,,,,,,
2018.8.7,115,,,,,,,,,,,,
2018.8.8,115,,,,,,,,,,,,
2018.8.9,115,,,,,,,,,,,,
