raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 사동2길 231 울릉통합중학교 주차장,울릉통합중학교 주차장,경상북도 울릉군 사동2길 231,37.4791793,130.8859401,차량단독
경북 울릉 서면 남양 산0086-0000번지 통구미길(남양정수장 위),경북 울릉 서면 남양 산0086-0000번지 통구미길(남양정수장 위),,,,차량단독
경상북도 울릉군 도동길 49 도동항 주차장,도동항 주차장,경상북도 울릉군 도동길 49,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 49 도동항 주차장,도동항 주차장,경상북도 울릉군 도동길 49,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 98 도매식품 맞은편,도매식품 맞은편,경상북도 울릉군 도동길 98,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 98 도매식품 맞은편,도매식품 맞은편,경상북도 울릉군 도동길 98,37.4840452,130.9044753,차량단독
경상북도 울릉군 봉래길 47 한마음여행사앞 주차장,한마음여행사앞 주차장,경상북도 울릉군 봉래길 47,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 47 한마음여행사앞 주차장,한마음여행사앞 주차장,경상북도 울릉군 봉래길 47,37.4942698,130.9058294,차대차
경상북도 울릉군 천부3길 3-1 대가야반점 앞 노상,대가야반점 앞 노상,경상북도 울릉군 천부3길 3-1,37.5391263,130.8774686,차대차
경상북도 울릉군 천부3길 3-1 대가야반점 앞 노상,대가야반점 앞 노상,경상북도 울릉군 천부3길 3-1,37.5391263,130.8774686,차대차
경상북도 울릉군 울릉순환로 164-2 저동커피 앞 노상,저동커피 앞 노상,경상북도 울릉군 울릉순환로 164-2,37.5217669,130.9095328,차대차
경상북도 울릉군 울릉순환로 164-2 저동커피 앞 노상,저동커피 앞 노상,경상북도 울릉군 울릉순환로 164-2,37.5217669,130.9095328,차대차
경상북도 울릉군 무릉길 227-114 한진택배,한진택배,경상북도 울릉군 무릉길 227-114,37.4840484,130.8977926,차량단독
경상북도 울릉군 봉래길 176 101동 옆 주차장,101동 옆 주차장,경상북도 울릉군 봉래길 176,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 176 101동 옆 주차장,101동 옆 주차장,경상북도 울릉군 봉래길 176,37.4942698,130.9058294,차량단독
경상북도 울릉군 남서길 8-30 102호,102호,경상북도 울릉군 남서길 8-30,37.4876087,130.8348825,차량단독
경상북도 울릉군 남서길 8-30 102호,102호,경상북도 울릉군 남서길 8-30,37.4876087,130.8348825,차량단독
경상북도 울릉군 울릉순환로 224 저동여객선터미널 앞,저동여객선터미널 앞,경상북도 울릉군 울릉순환로 224,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 224 저동여객선터미널 앞,저동여객선터미널 앞,경상북도 울릉군 울릉순환로 224,37.4652336,130.8394194,차량단독
경상북도 울릉군 도동길 151-19 울릉중 앞,울릉중 앞,경상북도 울릉군 도동길 151-19,37.4840452,130.9044753,차대사람
