raw,detail,clean_normalized,latitude,longitude,type
경북 울릉 울릉 도동 300- 2번지 어민철공소 앞,경북 울릉 울릉 도동 300- 2번지 어민철공소 앞,,,,차량단독
경상북도 울릉군 도동2길 75-1 울릉 우체국 앞,울릉 우체국 앞,경상북도 울릉군 도동2길 75-1,37.4838913,130.9061709,차량단독
경상북도 울릉군 도동2길 75-1 울릉 우체국 앞,울릉 우체국 앞,경상북도 울릉군 도동2길 75-1,37.4838913,130.9061709,차량단독
경상북도 울릉군 도동길 209 이면도로주차공간,이면도로주차공간,경상북도 울릉군 도동길 209,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 209 이면도로주차공간,이면도로주차공간,경상북도 울릉군 도동길 209,37.4840452,130.9044753,차량단독
경상북도 울릉군 울릉읍 도동2길 65 롯데리아 맞은편,경상북도 울릉군 울릉읍 도동2길 65 롯데리아 맞은편,,37.4838913,130.9061709,차량단독
경상북도 울릉군 울릉읍 도동2길 65 롯데리아 맞은편,경상북도 울릉군 울릉읍 도동2길 65 롯데리아 맞은편,,37.4838913,130.9061709,차량단독
경상북도 울릉군 봉래길 5-11 선착장 주차장,선착장 주차장,경상북도 울릉군 봉래길 5-11,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 5-11 선착장 주차장,선착장 주차장,경상북도 울릉군 봉래길 5-11,37.4942698,130.9058294,차량단독
경북 울릉 북면 천부 산0004-0010번지 도로상,경북 울릉 북면 천부 산0004-0010번지 도로상,,,,차량단독
경상북도 울릉군 봉래길 128-3,,경상북도 울릉군 봉래길 128-3,37.4960451,130.9033698,차량단독
경상북도 울릉군 봉래길 128-3,,경상북도 울릉군 봉래길 128-3,37.4960451,130.9033698,차량단독
경북 울릉 울릉 도동 207- 4번지 한마루관사 앞,경북 울릉 울릉 도동 207- 4번지 한마루관사 앞,,,,차량단독
경상북도 울릉군 도동길 137,,경상북도 울릉군 도동길 137,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 137,,경상북도 울릉군 도동길 137,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 63 호텔입구 충돌,호텔입구 충돌,경상북도 울릉군 도동길 63,37.4840452,130.9044753,차량단독
경상북도 울릉군 봉래길 14-7,,경상북도 울릉군 봉래길 14-7,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 14-7,,경상북도 울릉군 봉래길 14-7,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 14-7,,경상북도 울릉군 봉래길 14-7,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 176 휴먼시아 102동 주차장내,휴먼시아 102동 주차장내,경상북도 울릉군 봉래길 176,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 176 휴먼시아 102동 주차장내,휴먼시아 102동 주차장내,경상북도 울릉군 봉래길 176,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 75,,경상북도 울릉군 봉래길 75,37.4942698,130.9058294,차대차
