raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 울릉순환로 122-1 눈 작은못개길옆,눈 작은못개길옆,경상북도 울릉군 울릉순환로 122-1,37.4991752329015,130.911934476105,차량단독
경상북도 울릉군 울릉순환로 397-6,,경상북도 울릉군 울릉순환로 397-6,37.4850683615837,130.899584575089,차량단독
경북 울릉 서면 태하 0618-0001번지 태하리 618-1 소재 수층터널 앞 100미터 지,경북 울릉 서면 태하 0618-0001번지 태하리 618-1 소재 수층터널 앞 100미터 지,,37.4892495774391,130.803803594143,차대차
경상북도 울릉군 울릉순환로 398 교육청 관사 주차장,교육청 관사 주차장,경상북도 울릉군 울릉순환로 398,37.4853929776456,130.899361237368,차량단독
경상북도 울릉군 평리길 6 마을입구 노상,마을입구 노상,경상북도 울릉군 평리길 6,37.5339752640925,130.842042534084,차대차
경북 울릉 울릉 사동 0040-0007번지,경북 울릉 울릉 사동 0040-0007번지,,37.4803529378177,130.896847553619,차대차
경상북도 울릉군 울릉순환로 212-16 수협 마트 앞노상,수협 마트 앞노상,경상북도 울릉군 울릉순환로 212-16,37.4930147778358,130.909901895353,차대차
경북 울릉 울릉 저동 0160-0001번지 경사가 급한 오르막길,경북 울릉 울릉 저동 0160-0001번지 경사가 급한 오르막길,,37.5026493557276,130.910572203301,
경북 울릉 울릉 저동 0160-0001번지 급경사 오르막길,경북 울릉 울릉 저동 0160-0001번지 급경사 오르막길,,37.5026493557276,130.910572203301,
경북 울릉 울릉 저동 0160-0001번지 급겸사 오르막길,경북 울릉 울릉 저동 0160-0001번지 급겸사 오르막길,,37.5026493557276,130.910572203301,차량단독
경상북도 울릉군 무릉길 281,,경상북도 울릉군 무릉길 281,37.4790313764058,130.894937312684,차대차
경상북도 울릉군 울릉읍 무릉길 281 대아리조트 입구 노상,경상북도 울릉군 울릉읍 무릉길 281 대아리조트 입구 노상,,37.4790313764058,130.894937312684,차량단독
