raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 도동길 14 1증 주차장 인근,1증 주차장 인근,경상북도 울릉군 도동길 14,37.4813954,130.9097905,차량단독
경상북도 울릉군 울릉순환로 785-27 사동여객선터미널뒷편,사동여객선터미널뒷편,경상북도 울릉군 울릉순환로 785-27,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 173 저동 여객선 터미널 공용주차장,저동 여객선 터미널 공용주차장,경상북도 울릉군 울릉순환로 173,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 173 저동 여객선 터미널 공용주차장,저동 여객선 터미널 공용주차장,경상북도 울릉군 울릉순환로 173,37.4652336,130.8394194,차량단독
경상북도 울릉군 도동2길 23 도동공용주차장 1층 내 출입구,도동공용주차장 1층 내 출입구,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차량단독
경상북도 울릉군 도동2길 23 도동공용주차장 1층 내 출입구,도동공용주차장 1층 내 출입구,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차량단독
경상북도 울릉군 울릉순환로 1280 남양광장앞,남양광장앞,경상북도 울릉군 울릉순환로 1280,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 1280 남양광장앞,남양광장앞,경상북도 울릉군 울릉순환로 1280,37.4652336,130.8394194,차량단독
경북 울릉 서면 남양 산 70- 1번지 남양터널 내,경북 울릉 서면 남양 산 70- 1번지 남양터널 내,,,,차대차
경북 울릉 서면 남양 산 70- 1번지 남양터널 내,경북 울릉 서면 남양 산 70- 1번지 남양터널 내,,,,차대차
경북 울릉 서면 남양 산 70- 1번지 남양터널 내,경북 울릉 서면 남양 산 70- 1번지 남양터널 내,,,,차대차
경상북도 울릉군 봉래길 16 369식당 앞,369식당 앞,경상북도 울릉군 봉래길 16,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 16 369식당 앞,369식당 앞,경상북도 울릉군 봉래길 16,37.4942698,130.9058294,차량단독
경북 울릉 울릉 사동 0326-0001번지 울릉중학교 신축현장,경북 울릉 울릉 사동 0326-0001번지 울릉중학교 신축현장,,,,차량단독
경북 울릉 울릉 사동 0326-0001번지 울릉중학교 신축현장,경북 울릉 울릉 사동 0326-0001번지 울릉중학교 신축현장,,,,차량단독
경상북도 울릉군 무릉길 147 울릉터널,울릉터널,경상북도 울릉군 무릉길 147,37.4840484,130.8977926,차량단독
경상북도 울릉군 도동길 204 미지트가구앞노상,미지트가구앞노상,경상북도 울릉군 도동길 204,37.4840452,130.9044753,차대차
경상북도 울릉군 도동길 204 미지트가구앞노상,미지트가구앞노상,경상북도 울릉군 도동길 204,37.4840452,130.9044753,차대차
경상북도 울릉군 도동길 204 미지트가구앞노상,미지트가구앞노상,경상북도 울릉군 도동길 204,37.4840452,130.9044753,차대차
경상북도 울릉군 봉래2길 8 별장식육식당 앞 노상,별장식육식당 앞 노상,경상북도 울릉군 봉래2길 8,37.4933628,130.9091045,차대사람
경상북도 울릉군 봉래2길 8 별장식육식당 앞 노상,별장식육식당 앞 노상,경상북도 울릉군 봉래2길 8,37.4933628,130.9091045,차대사람
경상북도 울릉군 도동길 14 여객선터미널 1층주차장,여객선터미널 1층주차장,경상북도 울릉군 도동길 14,37.4813954,130.9097905,차량단독
경상북도 울릉군 도동길 14 여객선터미널 1층주차장,여객선터미널 1층주차장,경상북도 울릉군 도동길 14,37.4813954,130.9097905,차량단독
경상북도 울릉군 울릉순환로 171 저동여객선터미널 화장실 앞,저동여객선터미널 화장실 앞,경상북도 울릉군 울릉순환로 171,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 171 저동여객선터미널 화장실 앞,저동여객선터미널 화장실 앞,경상북도 울릉군 울릉순환로 171,37.4652336,130.8394194,차량단독
경상북도 울릉군 천부1길 27 울릉군 북면보건지소 앞,울릉군 북면보건지소 앞,경상북도 울릉군 천부1길 27,37.5410777,130.8739888,차량단독
경상북도 울릉군 천부1길 27 울릉군 북면보건지소 앞,울릉군 북면보건지소 앞,경상북도 울릉군 천부1길 27,37.5410777,130.8739888,차량단독
경상북도 울릉군 저동1길 21-20 진주맨션 앞 주차장,진주맨션 앞 주차장,경상북도 울릉군 저동1길 21-20,37.4978519,130.9050032,차량단독
경상북도 울릉군 저동1길 21-20 진주맨션 앞 주차장,진주맨션 앞 주차장,경상북도 울릉군 저동1길 21-20,37.4978519,130.9050032,차량단독
경상북도 울릉군 도동2길 23 도동공영주차장 앞 노상,도동공영주차장 앞 노상,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차대차
경상북도 울릉군 도동2길 23 도동공영주차장 앞 노상,도동공영주차장 앞 노상,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차대차
경상북도 울릉군 울릉순환로 122-1 공주상회 앞 노상,공주상회 앞 노상,경상북도 울릉군 울릉순환로 122-1,37.5217669,130.9095328,차대차
경상북도 울릉군 울릉순환로 122-1 공주상회 앞 노상,공주상회 앞 노상,경상북도 울릉군 울릉순환로 122-1,37.5217669,130.9095328,차대차
경상북도 울릉군 사동1길 16 대아리조트 주차장,대아리조트 주차장,경상북도 울릉군 사동1길 16,37.4773174,130.8898177,차량단독
경상북도 울릉군 사동1길 16 대아리조트 주차장,대아리조트 주차장,경상북도 울릉군 사동1길 16,37.4773174,130.8898177,차량단독
경상북도 울릉군 도동길 154 울릉읍사무소 버스승강장,울릉읍사무소 버스승강장,경상북도 울릉군 도동길 154,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 154 울릉읍사무소 버스승강장,울릉읍사무소 버스승강장,경상북도 울릉군 도동길 154,37.4840452,130.9044753,차량단독
경상북도 울릉군 울릉순환로 100 경상북도 울릉군 울릉순환로 100 진주맨션 주차장,진주맨션 주차장,경상북도 울릉군 울릉순환로 100,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 100 경상북도 울릉군 울릉순환로 100 진주맨션 주차장,진주맨션 주차장,경상북도 울릉군 울릉순환로 100,37.5217669,130.9095328,차량단독
경상북도 울릉군 도동길 143 울릉군의회 주차장,울릉군의회 주차장,경상북도 울릉군 도동길 143,37.4840452,130.9044753,차대차
경상북도 울릉군 도동길 143 울릉군의회 주차장,울릉군의회 주차장,경상북도 울릉군 도동길 143,37.4840452,130.9044753,차대차
