raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 울릉순환로 221-3 주차장,주차장,경상북도 울릉군 울릉순환로 221-3,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 221-3 주차장,주차장,경상북도 울릉군 울릉순환로 221-3,37.5217669,130.9095328,차량단독
경상북도 울릉군 약수터길 18,,경상북도 울릉군 약수터길 18,37.4831275,130.9019904,차량단독
경상북도 울릉군 약수터길 18,,경상북도 울릉군 약수터길 18,37.4831275,130.9019904,차량단독
경상북도 울릉군 봉래2길 30-5,,경상북도 울릉군 봉래2길 30-5,37.4933628,130.9091045,차량단독
경상북도 울릉군 봉래2길 30-5,,경상북도 울릉군 봉래2길 30-5,37.4933628,130.9091045,차량단독
경북 울릉 서면 태하 0480-0001번지 커브구간,경북 울릉 서면 태하 0480-0001번지 커브구간,,,,차대차
경북 울릉 서면 태하 0480-0001번지 커브구간,경북 울릉 서면 태하 0480-0001번지 커브구간,,,,차대차
경상북도 울릉군 태하길 195,,경상북도 울릉군 태하길 195,37.512247,130.8039673,차대사람
경상북도 울릉군 태하길 195,,경상북도 울릉군 태하길 195,37.512247,130.8039673,차대사람
경상북도 울릉군 울릉순환로 566 라마다호텔 신축공사장 인근으로 주차차량?,라마다호텔 신축공사장 인근으로 주차차량?,경상북도 울릉군 울릉순환로 566,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 566 라마다호텔 신축공사장 인근으로 주차차량?,라마다호텔 신축공사장 인근으로 주차차량?,경상북도 울릉군 울릉순환로 566,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 212-4,,경상북도 울릉군 울릉순환로 212-4,37.5217669,130.9095328,차대사람
경상북도 울릉군 울릉순환로 212-4,,경상북도 울릉군 울릉순환로 212-4,37.5217669,130.9095328,차대사람
경상북도 울릉군 저동2길 52 저온냉장 창고,저온냉장 창고,경상북도 울릉군 저동2길 52,37.5016875,130.9031758,차량단독
경상북도 울릉군 봉래길 6-21 이면도로,이면도로,경상북도 울릉군 봉래길 6-21,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 6-21 이면도로,이면도로,경상북도 울릉군 봉래길 6-21,37.4942698,130.9058294,차량단독
경상북도 울릉군 울릉순환로 533 울타리식당 옆,울타리식당 옆,경상북도 울릉군 울릉순환로 533,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 533 울타리식당 옆,울타리식당 옆,경상북도 울릉군 울릉순환로 533,37.4652336,130.8394194,차량단독
경상북도 울릉군 천부길 88 오르막도로,오르막도로,경상북도 울릉군 천부길 88,37.5354053,130.8715269,차량단독
경상북도 울릉군 남양4길 16 좁은 골목길,좁은 골목길,경상북도 울릉군 남양4길 16,37.4673696,130.837807,차량단독
경상북도 울릉군 남양4길 16 좁은 골목길,좁은 골목길,경상북도 울릉군 남양4길 16,37.4673696,130.837807,차량단독
경상북도 울릉군 울릉순환로 213 정확한 사고 장소를 알수없음,정확한 사고 장소를 알수없음,경상북도 울릉군 울릉순환로 213,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 213 정확한 사고 장소를 알수없음,정확한 사고 장소를 알수없음,경상북도 울릉군 울릉순환로 213,37.4652336,130.8394194,차량단독
경상북도 울릉군 저동1길 36-22 주차장,주차장,경상북도 울릉군 저동1길 36-22,37.4978519,130.9050032,차량단독
경상북도 울릉군 저동1길 36-22 주차장,주차장,경상북도 울릉군 저동1길 36-22,37.4978519,130.9050032,차량단독
경상북도 울릉군 울릉순환로 1270-2,,경상북도 울릉군 울릉순환로 1270-2,37.4652336,130.8394194,차대차
경상북도 울릉군 울릉순환로 1270-2,,경상북도 울릉군 울릉순환로 1270-2,37.4652336,130.8394194,차대차
경상북도 울릉군 봉래길 5-11,,경상북도 울릉군 봉래길 5-11,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 5-11,,경상북도 울릉군 봉래길 5-11,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래2길 32-2,,경상북도 울릉군 봉래2길 32-2,37.4933628,130.9091045,차량단독
경상북도 울릉군 봉래2길 32-2,,경상북도 울릉군 봉래2길 32-2,37.4933628,130.9091045,차량단독
경상북도 울릉군 울릉순환로 212-27 울릉 수협 앞,울릉 수협 앞,경상북도 울릉군 울릉순환로 212-27,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 212-27 울릉 수협 앞,울릉 수협 앞,경상북도 울릉군 울릉순환로 212-27,37.5217669,130.9095328,차량단독
경상북도 울릉군 도동2길 96 공영주차장 안,공영주차장 안,경상북도 울릉군 도동2길 96,37.4838913,130.9061709,차량단독
경상북도 울릉군 도동2길 96 공영주차장 안,공영주차장 안,경상북도 울릉군 도동2길 96,37.4838913,130.9061709,차량단독
경상북도 울릉군 울릉순환로 213 저동 농협 앞 도로,저동 농협 앞 도로,경상북도 울릉군 울릉순환로 213,37.4652336,130.8394194,차량단독
