raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 울릉순환로 396-18 의료원 주차장 의료원 앞 주차장,의료원 주차장 의료원 앞 주차장,경상북도 울릉군 울릉순환로 396-18,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 396-18 의료원 주차장 의료원 앞 주차장,의료원 주차장 의료원 앞 주차장,경상북도 울릉군 울릉순환로 396-18,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 219-3 gs편의점 건너편 공영주차장,gs편의점 건너편 공영주차장,경상북도 울릉군 울릉순환로 219-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 219-3 gs편의점 건너편 공영주차장,gs편의점 건너편 공영주차장,경상북도 울릉군 울릉순환로 219-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 도동길 49 경상북도 울릉군 도동길 49 한일다방 앞,한일다방 앞,경상북도 울릉군 도동길 49,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 49 경상북도 울릉군 도동길 49 한일다방 앞,한일다방 앞,경상북도 울릉군 도동길 49,37.4840452,130.9044753,차량단독
경상북도 울릉군 서면 울릉순환로 1319 사자바위앞 커브길,경상북도 울릉군 서면 울릉순환로 1319 사자바위앞 커브길,,37.4905796,130.8056204,차대차
경상북도 울릉군 서면 울릉순환로 1319 사자바위앞 커브길,경상북도 울릉군 서면 울릉순환로 1319 사자바위앞 커브길,,37.4905796,130.8056204,차대차
경상북도 울릉군 도동길 118 울릉약소마을 앞,울릉약소마을 앞,경상북도 울릉군 도동길 118,37.4840452,130.9044753,차대사람
경상북도 울릉군 도동길 118 울릉약소마을 앞,울릉약소마을 앞,경상북도 울릉군 도동길 118,37.4840452,130.9044753,차대사람
경상북도 울릉군 울릉순환로 221-3 경상북도 울릉군 울릉순환로 221-3 저동GS편의점앞 주차장,저동GS편의점앞 주차장,경상북도 울릉군 울릉순환로 221-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 221-3 경상북도 울릉군 울릉순환로 221-3 저동GS편의점앞 주차장,저동GS편의점앞 주차장,경상북도 울릉군 울릉순환로 221-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 석포길 13 와달리 터널 내(울릉군),와달리 터널 내(울릉군),경상북도 울릉군 석포길 13,37.5451748,130.9079481,차량단독
경상북도 울릉군 봉래2길 6 별장약소면옥 식당 앞,별장약소면옥 식당 앞,경상북도 울릉군 봉래2길 6,37.4933628,130.9091045,차량단독
경상북도 울릉군 봉래2길 6 별장약소면옥 식당 앞,별장약소면옥 식당 앞,경상북도 울릉군 봉래2길 6,37.4933628,130.9091045,차량단독
경상북도 울릉군 천부1길 17 대복상회앞노상,대복상회앞노상,경상북도 울릉군 천부1길 17,37.5410777,130.8739888,차량단독-도로이탈
경상북도 울릉군 저동2길 51-18 울릉순환로 136,울릉순환로 136,경상북도 울릉군 저동2길 51-18,37.5016875,130.9031758,차량단독
경상북도 울릉군 저동2길 51-18 울릉순환로 136,울릉순환로 136,경상북도 울릉군 저동2길 51-18,37.5016875,130.9031758,차량단독
경상북도 울릉군 봉래길 42 노상,노상,경상북도 울릉군 봉래길 42,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 42 노상,노상,경상북도 울릉군 봉래길 42,37.4942698,130.9058294,차대차
경상북도 울릉군 울릉순환로 212-10 경상북도 울릉군 울릉순환로 212-10 정애식당 앞,정애식당 앞,경상북도 울릉군 울릉순환로 212-10,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 212-10 경상북도 울릉군 울릉순환로 212-10 정애식당 앞,정애식당 앞,경상북도 울릉군 울릉순환로 212-10,37.5069766,130.9126169,차량단독
경상북도 울릉군 도동길 53 gs도동점 건너편,gs도동점 건너편,경상북도 울릉군 도동길 53,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 53 gs도동점 건너편,gs도동점 건너편,경상북도 울릉군 도동길 53,37.4840452,130.9044753,차량단독
경상북도 울릉군 약수터길 13 약수터길 의료원 사택 앞,약수터길 의료원 사택 앞,경상북도 울릉군 약수터길 13,37.4831275,130.9019904,차량단독
경상북도 울릉군 울릉순환로 1270-2 울릉순환로 1268 담벼락앞,울릉순환로 1268 담벼락앞,경상북도 울릉군 울릉순환로 1270-2,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 1270-2 울릉순환로 1268 담벼락앞,울릉순환로 1268 담벼락앞,경상북도 울릉군 울릉순환로 1270-2,37.4742698,130.8909067,차량단독
경상북도 울릉군 도동2길 23 공용주차장내,공용주차장내,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차량단독
경상북도 울릉군 도동2길 23 공용주차장내,공용주차장내,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차량단독
경상북도 울릉군 저동길 3 신흥교회 앞 노상,신흥교회 앞 노상,경상북도 울릉군 저동길 3,37.4944882,130.9060351,차량단독
경상북도 울릉군 저동길 3 신흥교회 앞 노상,신흥교회 앞 노상,경상북도 울릉군 저동길 3,37.4944882,130.9060351,차량단독
경상북도 울릉군 도동길 40 주차장 내 노상,주차장 내 노상,경상북도 울릉군 도동길 40,37.4825619,130.908712,차대사람
경상북도 울릉군 도동길 40 주차장 내 노상,주차장 내 노상,경상북도 울릉군 도동길 40,37.4825619,130.908712,차대사람
경상북도 울릉군 남양4길 37 태하리 서달갈림길 방범CCTV앞,태하리 서달갈림길 방범CCTV앞,경상북도 울릉군 남양4길 37,37.4673696,130.837807,차량단독
경상북도 울릉군 저동1길 36-22 협성동백타운 주차장,협성동백타운 주차장,경상북도 울릉군 저동1길 36-22,37.4978519,130.9050032,차량단독
경상북도 울릉군 저동1길 36-22 협성동백타운 주차장,협성동백타운 주차장,경상북도 울릉군 저동1길 36-22,37.4978519,130.9050032,차량단독
경상북도 울릉군 울릉순환로 138 자택 앞,자택 앞,경상북도 울릉군 울릉순환로 138,37.5069766,130.9126169,차량단독
경상북도 울릉군 저동1길 21-13 진주맨션 앞,진주맨션 앞,경상북도 울릉군 저동1길 21-13,37.4978519,130.9050032,차량단독
경상북도 울릉군 저동1길 21-13 진주맨션 앞,진주맨션 앞,경상북도 울릉군 저동1길 21-13,37.4978519,130.9050032,차량단독
경북 울릉 서면 남양 산0070-0001번지경상북도 울릉군 서면 남양리 산 70-1 남양에서 남통터널 진입전 좌측전봇대,경북 울릉 서면 남양 산0070-0001번지경상북도 울릉군 서면 남양리 산 70-1 남양에서 남통터널 진입전 좌측전봇대,,,,차량단독
경상북도 울릉군 울릉순환로 219-3 명가렌트카 앞 주차장,명가렌트카 앞 주차장,경상북도 울릉군 울릉순환로 219-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 219-3 명가렌트카 앞 주차장,명가렌트카 앞 주차장,경상북도 울릉군 울릉순환로 219-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 136 울릉순환로 130 앞,울릉순환로 130 앞,경상북도 울릉군 울릉순환로 136,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 138 경상북도 울릉군 울릉순환로 138,,경상북도 울릉군 울릉순환로 138,37.5069766,130.9126169,차량단독
경상북도 울릉군 봉래길 250 산림조합앞,산림조합앞,경상북도 울릉군 봉래길 250,37.4942698,130.9058294,차대사람
경상북도 울릉군 봉래길 250 산림조합앞,산림조합앞,경상북도 울릉군 봉래길 250,37.4942698,130.9058294,차대사람
경상북도 울릉군 천부3길 34 천부2길 28 앞 노상,천부2길 28 앞 노상,경상북도 울릉군 천부3길 34,37.5391263,130.8774686,차량단독
경상북도 울릉군 천부3길 34 천부2길 28 앞 노상,천부2길 28 앞 노상,경상북도 울릉군 천부3길 34,37.5391263,130.8774686,차량단독
경상북도 울릉군 울릉순환로 211-4 모시개식당 앞,모시개식당 앞,경상북도 울릉군 울릉순환로 211-4,37.5069766,130.9126169,차대사람
경상북도 울릉군 울릉순환로 211-4 모시개식당 앞,모시개식당 앞,경상북도 울릉군 울릉순환로 211-4,37.5069766,130.9126169,차대사람
경상북도 울릉군 봉래1길 19-62 얼음공장 공터,얼음공장 공터,경상북도 울릉군 봉래1길 19-62,37.4915537,130.9099592,차량단독
경상북도 울릉군 봉래1길 19-62 얼음공장 공터,얼음공장 공터,경상북도 울릉군 봉래1길 19-62,37.4915537,130.9099592,차량단독
경상북도 울릉군 도동9길 92-11 울릉콘도 앞 노상,울릉콘도 앞 노상,경상북도 울릉군 도동9길 92-11,37.485858,130.8932675,차량단독
경상북도 울릉군 도동9길 92-11 울릉콘도 앞 노상,울릉콘도 앞 노상,경상북도 울릉군 도동9길 92-11,37.485858,130.8932675,차량단독
경북 울릉 서면 태하 산0074-0007번지 태하삼거리,경북 울릉 서면 태하 산0074-0007번지 태하삼거리,,,,차량단독
경상북도 울릉군 울릉순환로 206 어민식당 건너편,어민식당 건너편,경상북도 울릉군 울릉순환로 206,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 206 어민식당 건너편,어민식당 건너편,경상북도 울릉군 울릉순환로 206,37.4742698,130.8909067,차량단독
경상북도 울릉군 도동길 222 우체국 사택,우체국 사택,경상북도 울릉군 도동길 222,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 222 우체국 사택,우체국 사택,경상북도 울릉군 도동길 222,37.4840452,130.9044753,차량단독
경상북도 울릉군 남양4길 37 돼지식당앞,돼지식당앞,경상북도 울릉군 남양4길 37,37.4673696,130.837807,차량단독
경상북도 울릉군 남양4길 37 돼지식당앞,돼지식당앞,경상북도 울릉군 남양4길 37,37.4673696,130.837807,차량단독
경상북도 울릉군 도동길 149-19 제일교회앞 주차장,제일교회앞 주차장,경상북도 울릉군 도동길 149-19,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 149-19 제일교회앞 주차장,제일교회앞 주차장,경상북도 울릉군 도동길 149-19,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 14 도동항,도동항,경상북도 울릉군 도동길 14,37.4813954,130.9097905,차량단독
경상북도 울릉군 도동길 14 도동항,도동항,경상북도 울릉군 도동길 14,37.4813954,130.9097905,차량단독
경상북도 울릉군 울릉순환로 219-3 저동소재 불스원(gs편의점건너편) 앞노상,저동소재 불스원(gs편의점건너편) 앞노상,경상북도 울릉군 울릉순환로 219-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 219-3 저동소재 불스원(gs편의점건너편) 앞노상,저동소재 불스원(gs편의점건너편) 앞노상,경상북도 울릉군 울릉순환로 219-3,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 785-17 사동 신항만 입구 한국타이어,사동 신항만 입구 한국타이어,경상북도 울릉군 울릉순환로 785-17,37.4742698,130.8909067,차대차
경상북도 울릉군 울릉순환로 785-17 사동 신항만 입구 한국타이어,사동 신항만 입구 한국타이어,경상북도 울릉군 울릉순환로 785-17,37.4742698,130.8909067,차대차
경상북도 울릉군 도동1길 5-42 만남의 광장 앞,만남의 광장 앞,경상북도 울릉군 도동1길 5-42,37.4828619,130.9073293,차대사람
경상북도 울릉군 도동1길 5-42 만남의 광장 앞,만남의 광장 앞,경상북도 울릉군 도동1길 5-42,37.4828619,130.9073293,차대사람
경상북도 울릉군 울릉순환로 256,,경상북도 울릉군 울릉순환로 256,37.4742698,130.8909067,차대차
경상북도 울릉군 울릉순환로 256,,경상북도 울릉군 울릉순환로 256,37.4742698,130.8909067,차대차
경북 울릉 서면 남양 산0070-0001번지 남양터널 내 곡선구간,경북 울릉 서면 남양 산0070-0001번지 남양터널 내 곡선구간,,,,차대차
