raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 도동2길 66 울릉군청주차장,울릉군청주차장,경상북도 울릉군 도동2길 66,37.4844189,130.9057822,차량단독
경상북도 울릉군 도동2길 66 울릉군청주차장,울릉군청주차장,경상북도 울릉군 도동2길 66,37.4844189,130.9057822,차량단독
경상북도 울릉군 도동길 216 울릉군 울릉읍 도동길218,울릉군 울릉읍 도동길218,경상북도 울릉군 도동길 216,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 93 도동새마을금고 앞,도동새마을금고 앞,경상북도 울릉군 도동길 93,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 93 도동새마을금고 앞,도동새마을금고 앞,경상북도 울릉군 도동길 93,37.4840452,130.9044753,차량단독
경상북도 울릉군 저동1길 57 울릉교회 위,울릉교회 위,경상북도 울릉군 저동1길 57,37.4978519,130.9050032,차량단독
경상북도 울릉군 저동1길 57 울릉교회 위,울릉교회 위,경상북도 울릉군 저동1길 57,37.4978519,130.9050032,차량단독
경상북도 울릉군 울릉순환로 236 울릉고등학교 앞,울릉고등학교 앞,경상북도 울릉군 울릉순환로 236,37.4932522,130.9080948,차대차
경상북도 울릉군 울릉순환로 236 울릉고등학교 앞,울릉고등학교 앞,경상북도 울릉군 울릉순환로 236,37.4932522,130.9080948,차대차
경북 울릉 울릉 사동 0572-0001번지 농업기술센터 삼거리,경북 울릉 울릉 사동 0572-0001번지 농업기술센터 삼거리,,,,차대차
경북 울릉 울릉 사동 0572-0001번지 농업기술센터 삼거리,경북 울릉 울릉 사동 0572-0001번지 농업기술센터 삼거리,,,,차대차
경상북도 울릉군 저동1길 24 대박슈퍼 아래 삼거리 길가장자리,대박슈퍼 아래 삼거리 길가장자리,경상북도 울릉군 저동1길 24,37.4978519,130.9050032,차량단독
경상북도 울릉군 저동1길 24 대박슈퍼 아래 삼거리 길가장자리,대박슈퍼 아래 삼거리 길가장자리,경상북도 울릉군 저동1길 24,37.4978519,130.9050032,차량단독
경상북도 울릉군 봉래1길 25 어민복지회관앞 노상 길가장자리,어민복지회관앞 노상 길가장자리,경상북도 울릉군 봉래1길 25,37.4915537,130.9099592,차량단독
경상북도 울릉군 봉래1길 25 어민복지회관앞 노상 길가장자리,어민복지회관앞 노상 길가장자리,경상북도 울릉군 봉래1길 25,37.4915537,130.9099592,차량단독
경상북도 울릉군 도동1길 5-3 도동소공원 입구,도동소공원 입구,경상북도 울릉군 도동1길 5-3,37.4828619,130.9073293,차대차
경상북도 울릉군 도동1길 5-3 도동소공원 입구,도동소공원 입구,경상북도 울릉군 도동1길 5-3,37.4828619,130.9073293,차대차
경북 울릉 북면 천부 0433-0001번지,경북 울릉 북면 천부 0433-0001번지,,,,차대차
경북 울릉 북면 천부 0433-0001번지,경북 울릉 북면 천부 0433-0001번지,,,,차대차
경북 울릉 서면 남서 산0078-0000번지 태하령입구,경북 울릉 서면 남서 산0078-0000번지 태하령입구,,,,차대차
경북 울릉 서면 남서 산0078-0000번지 태하령입구,경북 울릉 서면 남서 산0078-0000번지 태하령입구,,,,차대차
경상북도 울릉군 도동길 49 도동소공원 앞,도동소공원 앞,경상북도 울릉군 도동길 49,37.4840452,130.9044753,차대차
경상북도 울릉군 도동길 49 도동소공원 앞,도동소공원 앞,경상북도 울릉군 도동길 49,37.4840452,130.9044753,차대차
경북 울릉 북면 나리 산0025-0000번지 정수장 뒤쪽 나리동 방향산책길,경북 울릉 북면 나리 산0025-0000번지 정수장 뒤쪽 나리동 방향산책길,,,,차량단독-도로이탈
경상북도 울릉군 봉래길 6-21 앞 노상,앞 노상,경상북도 울릉군 봉래길 6-21,37.4942698,130.9058294,차량단독
경상북도 울릉군 봉래길 6-21 앞 노상,앞 노상,경상북도 울릉군 봉래길 6-21,37.4942698,130.9058294,차량단독
경북 울릉 울릉 사동 0111-0003번지,경북 울릉 울릉 사동 0111-0003번지,,,,차대차
경북 울릉 울릉 사동 0111-0003번지,경북 울릉 울릉 사동 0111-0003번지,,,,차대차
경상북도 울릉군 울릉순환로 58 내수전화력발전소 앞 도로,내수전화력발전소 앞 도로,경상북도 울릉군 울릉순환로 58,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 58 내수전화력발전소 앞 도로,내수전화력발전소 앞 도로,경상북도 울릉군 울릉순환로 58,37.4742698,130.8909067,차량단독
경북 울릉 울릉 저동 0235-0005번지 내수전 터널 앞 100m지점,경북 울릉 울릉 저동 0235-0005번지 내수전 터널 앞 100m지점,,,,차대차
경북 울릉 울릉 저동 0235-0005번지 내수전 터널 앞 100m지점,경북 울릉 울릉 저동 0235-0005번지 내수전 터널 앞 100m지점,,,,차대차
경상북도 울릉군 울릉순환로 770 비치온회센터 주차장,비치온회센터 주차장,경상북도 울릉군 울릉순환로 770,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 770 비치온회센터 주차장,비치온회센터 주차장,경상북도 울릉군 울릉순환로 770,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 179 울릉해경파출소 맞은편,울릉해경파출소 맞은편,경상북도 울릉군 울릉순환로 179,37.4742698,130.8909067,차대차
경상북도 울릉군 울릉순환로 179 울릉해경파출소 맞은편,울릉해경파출소 맞은편,경상북도 울릉군 울릉순환로 179,37.4742698,130.8909067,차대차
경북 울릉 서면 태하 0619-0003번지 수층터널 태하방면 입구,경북 울릉 서면 태하 0619-0003번지 수층터널 태하방면 입구,,,,차량단독
경상북도 울릉군 울릉순환로 590-5 울릉순환로592( 신비섬횟집),울릉순환로592( 신비섬횟집),경상북도 울릉군 울릉순환로 590-5,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 590-5 울릉순환로592( 신비섬횟집),울릉순환로592( 신비섬횟집),경상북도 울릉군 울릉순환로 590-5,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 211 모시개식당,모시개식당,경상북도 울릉군 울릉순환로 211,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 211 모시개식당,모시개식당,경상북도 울릉군 울릉순환로 211,37.5069766,130.9126169,차량단독
경상북도 울릉군 울릉순환로 2804 울릉순환로2596,울릉순환로2596,경상북도 울릉군 울릉순환로 2804,37.4742698,130.8909067,차량단독
경상북도 울릉군 울릉순환로 2804 울릉순환로2596,울릉순환로2596,경상북도 울릉군 울릉순환로 2804,37.4742698,130.8909067,차량단독
