정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
TSB373000058,사동항,37.460776,130.8758918,2025-10-31,3730058.0,37430,경상북도 울릉군,TSBIS
TSB373000059,나리 삼거리,37.520216,130.8703309,2025-10-31,3730059.0,37430,경상북도 울릉군,TSBIS
TSB373000060,죽암,37.54125,130.8930649,2025-10-31,3730060.0,37430,경상북도 울릉군,TSBIS
TSB373000061,죽암,37.541177,130.893102,2025-10-31,3730061.0,37430,경상북도 울릉군,TSBIS
TSB373000062,관음도,37.541588,130.9154512,2025-10-31,3730062.0,37430,경상북도 울릉군,TSBIS
TSB373000063,관음도,37.54145,130.9155361,2025-10-31,3730063.0,37430,경상북도 울릉군,TSBIS
TSB373000064,저동초등학교,37.495344,130.9035758,2025-10-31,3730064.0,37430,경상북도 울릉군,TSBIS
TSB373000065,저동초등학교,37.495537,130.9036979,2025-10-31,3730065.0,37430,경상북도 울릉군,TSBIS
TSB373000066,도동파출소,37.483662,130.9053038,2025-10-31,3730066.0,37430,경상북도 울릉군,TSBIS
TSB373000067,KT,37.485366,130.9018702,2025-10-31,3730067.0,37430,경상북도 울릉군,TSBIS
TSB373000068,기상대 입구,37.480032,130.8968129,2025-10-31,3730068.0,37430,경상북도 울릉군,TSBIS
TSB373000069,대아리조트,37.477951,130.8932669,2025-10-31,3730069.0,37430,경상북도 울릉군,TSBIS
TSB373000070,삼막,37.494046,130.806999,2025-10-31,3730070.0,37430,경상북도 울릉군,TSBIS
TSB373000071,황토구미,37.511447,130.7990171,2025-10-31,3730071.0,37430,경상북도 울릉군,TSBIS
TSB373000072,태하부대,37.515026,130.8108229,2025-10-31,3730072.0,37430,경상북도 울릉군,TSBIS
TSB373000073,현포통합정수장,37.517538,130.8160631,2025-10-31,3730073.0,37430,경상북도 울릉군,TSBIS
TSB373000074,현포초등학교,37.524933,130.82067,2025-10-31,3730074.0,37430,경상북도 울릉군,TSBIS
TSB373000075,해양과학기술원 입구,37.526242,130.8207791,2025-10-31,3730075.0,37430,경상북도 울릉군,TSBIS
TSB373000076,현포항,37.526617,130.8222191,2025-10-31,3730076.0,37430,경상북도 울릉군,TSBIS
TSB373000077,현포신포구,37.526739,130.829918,2025-10-31,3730077.0,37430,경상북도 울릉군,TSBIS
TSB373000078,예림원,37.531122,130.836676,2025-10-31,3730078.0,37430,경상북도 울릉군,TSBIS
TSB373000079,코끼리쉼터,37.534331,130.8495341,2025-10-31,3730079.0,37430,경상북도 울릉군,TSBIS
TSB373000080,와달리,37.521602,130.909748,2025-10-31,3730080.0,37430,경상북도 울릉군,TSBIS
TSB373000081,봉래교,37.49459,130.9048099,2025-10-31,3730081.0,37430,경상북도 울릉군,TSBIS
TSB373000082,저동 휴먼시아,37.496739,130.901206,2025-10-31,3730082.0,37430,경상북도 울릉군,TSBIS
TSB373000083,산림조합,37.496773,130.89739,2025-10-31,3730083.0,37430,경상북도 울릉군,TSBIS
TSB373000084,본천부,37.538104,130.8795998,2025-10-31,3730084.0,37430,경상북도 울릉군,TSBIS
TSB373000085,홍문동,37.528451,130.873869,2025-10-31,3730085.0,37430,경상북도 울릉군,TSBIS
TSB373000086,나리분지 전망대,37.525339,130.8711398,2025-10-31,3730086.0,37430,경상북도 울릉군,TSBIS
TSB373000087,북면진료소,37.541682,130.874548,2025-10-31,3730087.0,37430,경상북도 울릉군,TSBIS
TSB373000088,석포전망대입구,37.544402,130.902795,2025-10-31,3730088.0,37430,경상북도 울릉군,TSBIS
TSB373000090,KBS중계소 입구,37.483875,130.895158,2025-10-31,3730090.0,37430,경상북도 울릉군,TSBIS
TSB373000091,도동파출소,37.483808,130.9050781,2025-10-31,3730091.0,37430,경상북도 울릉군,TSBIS
TSB373000092,공설운동장,37.509323,130.8142429,2025-10-31,3730092.0,37430,경상북도 울릉군,TSBIS
TSB373000093,와달리,37.522124,130.909225,2025-10-31,3730093.0,37430,경상북도 울릉군,TSBIS
TSB373000094,봉래교,37.494498,130.9047689,2025-10-31,3730094.0,37430,경상북도 울릉군,TSBIS
TSB373000095,저동휴먼시아,37.496671,130.901161,2025-10-31,3730095.0,37430,경상북도 울릉군,TSBIS
TSB373000096,산림조합,37.496734,130.8974209,2025-10-31,3730096.0,37430,경상북도 울릉군,TSBIS
TSB373000097,나리분지 전망대,37.525278,130.8712838,2025-10-31,3730097.0,37430,경상북도 울릉군,TSBIS
TSB373000098,홍문동,37.528449,130.873963,2025-10-31,3730098.0,37430,경상북도 울릉군,TSBIS
TSB373000099,본천부,37.538155,130.8795239,2025-10-31,3730099.0,37430,경상북도 울릉군,TSBIS
TSB373000100,북면진료소,37.541785,130.8745321,2025-10-31,3730100.0,37430,경상북도 울릉군,TSBIS
TSB373000101,석포전망대입구,37.54439,130.902863,2025-10-31,3730101.0,37430,경상북도 울릉군,TSBIS
TSB373000102,독도의용수비대기념관,37.537498,130.906696,2025-10-31,3730102.0,37430,경상북도 울릉군,TSBIS
TSB373000105,코끼리쉼터,37.534384,130.849528,2025-10-31,3730105.0,37430,경상북도 울릉군,TSBIS
TSB373000106,예림원,37.531195,130.8366079,2025-10-31,3730106.0,37430,경상북도 울릉군,TSBIS
TSB373000107,현포신포구,37.526852,130.829859,2025-10-31,3730107.0,37430,경상북도 울릉군,TSBIS
TSB373000108,현포항,37.526704,130.8221809,2025-10-31,3730108.0,37430,경상북도 울릉군,TSBIS
TSB373000109,해양과학기술원 입구,37.526334,130.8206909,2025-10-31,3730109.0,37430,경상북도 울릉군,TSBIS
TSB373000120,현포초등학교,37.525013,130.820571,2025-10-31,3730120.0,37430,경상북도 울릉군,TSBIS
TSB373000121,현포통합정수장,37.517447,130.8160688,2025-10-31,3730121.0,37430,경상북도 울릉군,TSBIS
TSB373000122,태하부대,37.51502,130.8109432,2025-10-31,3730122.0,37430,경상북도 울릉군,TSBIS
TSB373000123,태하삼거리,37.512113,130.8098902,2025-10-31,3730123.0,37430,경상북도 울릉군,TSBIS
TSB373000124,삼막,37.494102,130.8069479,2025-10-31,3730124.0,37430,경상북도 울릉군,TSBIS
TSB373000125,대아리조트,37.478402,130.8936121,2025-10-31,3730125.0,37430,경상북도 울릉군,TSBIS
TSB373000127,기상대 입구,37.480076,130.8969608,2025-10-31,3730127.0,37430,경상북도 울릉군,TSBIS
TSB373000128,KBS중계소 입구,37.483992,130.8953002,2025-10-31,3730128.0,37430,경상북도 울릉군,TSBIS
TSB373000129,저동여객선터미널,37.496277,130.9096411,2025-10-31,3730129.0,37430,경상북도 울릉군,TSBIS
TSB373000130,KT,37.485309,130.9018972,2025-10-31,3730130.0,37430,경상북도 울릉군,TSBIS
