발생일시,"사고
종별",사고장소
2025-06-18 17:40,차량단독,경상북도 울릉군 봉래1길 19-47  촛대바위 공중화장실 앞 노상주차
2025-06-20 19:32,차대차,경상북도 울릉군 울릉순환로 350  
2025-06-20 19:32,차대차,경상북도 울릉군 울릉순환로 350  
2025-06-16 05:00,차량단독,경상북도 울릉군 도동1길 5-3  
2025-06-16 05:00,차량단독,경상북도 울릉군 도동1길 5-3  
2025-06-26 07:20,차량단독,경상북도 울릉군 도동길 14  주차장
2025-06-28 18:00,차량단독,경상북도 울릉군 남양길 43  
2025-06-28 18:00,차량단독,경상북도 울릉군 남양길 43  
2025-06-28 15:10,차대차,경북 울릉 울릉 사동 산0144-0005번지 
2025-06-28 15:10,차대차,경북 울릉 울릉 사동 산0144-0005번지 
2025-07-03 19:00,차량단독,경상북도 울릉군 울릉순환로 532  노상주차장
2025-07-03 19:00,차량단독,경상북도 울릉군 울릉순환로 532  노상주차장
2025-07-02 13:30,차대차,경상북도 울릉군 울릉순환로 214-1  상가 앞 주차
2025-07-02 13:30,차대차,경상북도 울릉군 울릉순환로 214-1  상가 앞 주차
2025-07-04 13:55,차량단독,경상북도 울릉군 행남길 10-1  LX국토정보공사 앞 주차장
2025-07-04 13:55,차량단독,경상북도 울릉군 행남길 10-1  LX국토정보공사 앞 주차장
2025-07-08 10:52,차대사람,경상북도 울릉군 평리1길 131  너와펜션 주차장
2025-07-08 10:52,차대사람,경상북도 울릉군 평리1길 131  너와펜션 주차장
2025-07-08 14:25,차대차,경상북도 울릉군 울릉순환로 676-1  
2025-07-08 14:25,차대차,경상북도 울릉군 울릉순환로 676-1  
2025-07-08 14:25,차대차,경상북도 울릉군 울릉순환로 676-1  
2025-07-08 14:25,차대차,경상북도 울릉군 울릉순환로 676-1  
2025-07-08 14:25,차대차,경상북도 울릉군 울릉순환로 676-1  
2025-07-08 14:25,차대차,경상북도 울릉군 울릉순환로 676-1  
2025-07-08 14:25,차대차,경상북도 울릉군 울릉순환로 676-1  
2025-07-08 12:00,차대차,경상북도 울릉군 봉래2길 6  좁은 길 차량 빈번
2025-07-08 12:00,차대차,경상북도 울릉군 봉래2길 6  좁은 길 차량 빈번
