위반일시,위반법조항,위반장소,,,,,,,,,,,,,,,,,,,,,,,,,,
201911271730,제48조제1항,경북 울릉 울릉 사동,,,,,,,,,,,,,,,,,,,,,,,,,,
202002111429,제73조2항,경상북도 울릉군 울릉읍,,,,,,,,,,,,,,,,,,,,,,,,,,
202002281621,제73조2항,경상북도 울릉군 울릉읍,,,,,,,,,,,,,,,,,,,,,,,,,,
202003231333,제73조2항,경상북도 울릉군 울릉읍,,,,,,,,,,,,,,,,,,,,,,,,,,
202003241330,제54조1항,여객선터미널,,,,,,,,,,,,,,,,,,,,,,,,,,
202003241140,제54조1항,사동111-3,,,,,,,,,,,,,,,,,,,,,,,,,,
202004161650,제73조2항,경상북도 울릉군 울릉읍,,,,,,,,,,,,,,,,,,,,,,,,,,
202005020914,제32조,독도수산,,,,,,,,,,,,,,,,,,,,,,,,,,
202005241500,제54조1항,도동항,,,,,,,,,,,,,,,,,,,,,,,,,,
202005261418,제54조1항,북면보건지소앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202005271508,제25조,경상북도 울릉군 울릉순환로 393,,,,,,,,,,,,,,,,,,,,,,,,,,
202006081630,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202006101023,제50조1항,경상북도 울릉군 울릉순환로 286,,,,,,,,,,,,,,,,,,,,,,,,,,
202006162215,제54조1항,마루통닭,,,,,,,,,,,,,,,,,,,,,,,,,,
202006221431,제54조1항,남양리산118-1,,,,,,,,,,,,,,,,,,,,,,,,,,
202007141011,제54조1항,울릉의료원,,,,,,,,,,,,,,,,,,,,,,,,,,
202007310830,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202008021900,제54조1항,도동항,,,,,,,,,,,,,,,,,,,,,,,,,,
202006211243,제48조제1항,경북 울릉 울릉 사동,,,,,,,,,,,,,,,,,,,,,,,,,,
202008141230,제54조1항,사동항,,,,,,,,,,,,,,,,,,,,,,,,,,
202008261101,제54조1항,남양집,,,,,,,,,,,,,,,,,,,,,,,,,,
202008110850,제48조제1항,경북 울릉 북면 현포,,,,,,,,,,,,,,,,,,,,,,,,,,
202008021340,제48조제1항,경북 울릉 북면 현포,,,,,,,,,,,,,,,,,,,,,,,,,,
202007180705,제48조제1항,경북 울릉 울릉 저동,,,,,,,,,,,,,,,,,,,,,,,,,,
202010011240,제54조1항,오징어 회타운 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202011031301,제54조1항,도동길215,,,,,,,,,,,,,,,,,,,,,,,,,,
202011101334,제73조2항,경상북도 울릉군 울릉읍,,,,,,,,,,,,,,,,,,,,,,,,,,
202012141107,제54조1항,울릉축산 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
