위반일시,위반법조항,위반장소,,,,,,,,,,,,,,,,,,,,,,,,,,
202306130416,제54조1항,경상북도 울릉군 봉래길 111,,,,,,,,,,,,,,,,,,,,,,,,,,
202306081106,제50조3항,경상북도 울릉군 울릉읍 울릉순환로 212-37  저동항근처 안녕저동 카페,,,,,,,,,,,,,,,,,,,,,,,,,,
202306201705,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202307281647,제54조1항,경상북도 울릉군 울릉순환로 212-16 수협 어판장,,,,,,,,,,,,,,,,,,,,,,,,,,
202306271520,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202308100114,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202308231435,제5조,경상북도 울릉군 도동길 208 도동삼거리,,,,,,,,,,,,,,,,,,,,,,,,,,
202308181650,제22조3항,경상북도 울릉군 석포길 13 와달리터널 내,,,,,,,,,,,,,,,,,,,,,,,,,,
202309061448,제50조3항,경상북도 울릉군 봉래2길 4 gs25앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309061450,제50조3항,경상북도 울릉군 울릉순환로 219 파라식육점앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309061452,제50조3항,경상북도 울릉군 울릉순환로 218 준이네민박앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309062028,제50조3항,경상북도 울릉군 울릉순환로 212-33 한아름특산품앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309062053,제50조3항,경상북도 울릉군 봉래2길 25 하나로마트 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309071731,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309142107,제50조3항,경상북도 울릉군 도동길 122 도동파출소앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309200807,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309200809,제49조1항10호,경상북도 울릉군 울릉순환로 286 한마음회관앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202309221435,제50조3항,경상북도 울릉군 도동2길 62 울릉경찰서앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202310102113,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202310102139,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202310251420,제49조1항10호,경상북도 울릉군 울릉순환로 286 한마음회관 주차장 입구,,,,,,,,,,,,,,,,,,,,,,,,,,
202310251514,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202310251517,제49조1항10호,경상북도 울릉군 울릉순환로 286 한마음회관앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202310251600,제49조1항10호,경상북도 울릉군 울릉순환로 286 한마음회관 주차장 안,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
