위반일시,위반법조항,위반장소,,,,,,,,,,,,,,,,,,,,,,,,,,
202301192257,제54조1항,울릉 우체국 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202303201329,제73조2항,경상북도 울릉군 도동2길 62,,,,,,,,,,,,,,,,,,,,,,,,,,
202303311020,제54조1항,경상북도 울릉군 봉래길 16,,,,,,,,,,,,,,,,,,,,,,,,,,
202304261328,제48조제1항,경상북도 울릉군 무릉길 9 울릉터널앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202304280854,제48조제1항,경상북도 울릉군 봉래2길 30-11 마리나호텔 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202304281038,제50조3항,경상북도 울릉군 울릉순환로 204 수협앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202304281042,제50조3항,경상북도 울릉군 울릉순환로 212-16 수협앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202305011403,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202305012134,제50조3항,경상북도 울릉군 도동길 208 도동삼거리,,,,,,,,,,,,,,,,,,,,,,,,,,
202305021015,제50조3항,경상북도 울릉군 도동길 159 울릉교회앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202305021018,제50조3항,경상북도 울릉군 도동2길 90 울릉교회앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202303310630,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202305191455,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202305191457,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202305191534,제50조3항,경상북도 울릉군 울릉순환로 286 한마음회관앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202306011527,제50조3항,경상북도 울릉군 울릉순환로 222 위드u게스트하우스앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202306011609,제50조3항,경상북도 울릉군 울릉순환로 206 어민회식당 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202306011612,제50조3항,경상북도 울릉군 울릉순환로 212-16 수협 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
