위반일시,위반법조항,위반장소,,,,,,,,,,,,,,,,,,,,,,,,,,
202101051500,제54조1항,울릉의료원,,,,,,,,,,,,,,,,,,,,,,,,,,
202012040125,제54조1항,서문교회앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202102221011,제73조2항,울릉경찰서,,,,,,,,,,,,,,,,,,,,,,,,,,
202102190240,제54조1항,너그 우리 오징어 먹어봤나,,,,,,,,,,,,,,,,,,,,,,,,,,
202101150905,제48조제1항,경북 울릉 서면 남서,,,,,,,,,,,,,,,,,,,,,,,,,,
202104131312,제54조1항,진주맨션 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202104131915,제54조1항,소방서 위,,,,,,,,,,,,,,,,,,,,,,,,,,
202105111350,제54조1항,도동항,,,,,,,,,,,,,,,,,,,,,,,,,,
202104131400,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202105142020,제50조1항,경상북도 울릉군 울릉순환로 286,,,,,,,,,,,,,,,,,,,,,,,,,,
202105281020,제50조1항,경상북도 울릉군 울릉순환로 734,,,,,,,,,,,,,,,,,,,,,,,,,,
202105281023,제50조1항,경상북도 울릉군 울릉순환로 734,,,,,,,,,,,,,,,,,,,,,,,,,,
202105281026,제50조1항,경상북도 울릉군 울릉순환로 734,,,,,,,,,,,,,,,,,,,,,,,,,,
202105281016,제50조1항,사동항,,,,,,,,,,,,,,,,,,,,,,,,,,
202105281032,제50조1항,경상북도 울릉군 울릉순환로 734,,,,,,,,,,,,,,,,,,,,,,,,,,
202103161020,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202104161450,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202105190820,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202110071011,제54조1항,경상북도 울릉군 봉래길 6-4 테마여행사 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202111161451,제54조1항,경상북도 울릉군 도동길 158 울릉읍사무소 울릉읍사무소 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202111140602,제27조1항,경상북도 울릉군 도동길 155 정관장앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202112080036,제54조1항,경상북도 울릉군 도동길 155 울릉초교앞,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
