위반일시,위반법조항,위반장소,,,,,,,,,,,,,,,,,,,,,,,,,,
202105231705,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202203050850,제48조제1항,경상북도 울릉군 도동길 97 울릉고등학교,,,,,,,,,,,,,,,,,,,,,,,,,,
202204111446,제54조1항,경상북도 울릉군 봉래3길 41-63 저동1길24,,,,,,,,,,,,,,,,,,,,,,,,,,
202203301203,제54조1항,경상북도 울릉군 봉래1길 28,,,,,,,,,,,,,,,,,,,,,,,,,,
202206051200,제48조제1항,경상북도 울릉군 울릉순환로 222 저동풍미당 앞 도로,,,,,,,,,,,,,,,,,,,,,,,,,,
202207260922,제54조1항,경상북도 울릉군 울릉순환로 396-18,,,,,,,,,,,,,,,,,,,,,,,,,,
202208051438,제54조1항,경상북도 울릉군 봉래길 71-2,,,,,,,,,,,,,,,,,,,,,,,,,,
202207021314,제48조제1항,경상북도 울릉군 울릉순환로 209,,,,,,,,,,,,,,,,,,,,,,,,,,
202205162010,제48조제1항,경북 울릉 울릉 사동,,,,,,,,,,,,,,,,,,,,,,,,,,
202207281410,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202208141010,제5조,경상북도 울릉군 도동1길 34,,,,,,,,,,,,,,,,,,,,,,,,,,
202208171517,제73조2항,경상북도 울릉군 도동2길 62 울릉경찰서,,,,,,,,,,,,,,,,,,,,,,,,,,
202208231000,제54조1항,경상북도 울릉군 도동길 188,,,,,,,,,,,,,,,,,,,,,,,,,,
202209081035,제48조제1항,경상북도 울릉군 울릉순환로 1939-10,,,,,,,,,,,,,,,,,,,,,,,,,,
202210041227,제48조제1항,저동 공영주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
202210170803,제50조3항,경북 울릉군 울릉읍 도동리 300-1  독도호텔 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210191201,제48조제1항,경북 울릉 울릉 도동,,,,,,,,,,,,,,,,,,,,,,,,,,
202210202100,제54조1항,경상북도 울릉군 도동길 209,,,,,,,,,,,,,,,,,,,,,,,,,,
202210170803,제50조3항,경북 울릉군 울릉읍 도동리 300-1  독도호텔 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210191131,제50조3항,경북 울릉군 울릉읍 도동리 23-4  도동함 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210201728,제50조3항,경북 울릉군 울릉읍 저동리 657  부티크 아우라 모텔 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210201515,제50조3항,경상북도 울릉군 울릉읍 도동길 154  전한슈퍼 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210201318,제50조3항,경상북도 울릉군 울릉읍 도동3길 25  컴포즈커피 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202211041534,제73조2항,경상북도 울릉군 도동2길 62,,,,,,,,,,,,,,,,,,,,,,,,,,
202210210927,제50조3항,경북 울릉군 울릉읍 도동리 300-1  울릉군 수협 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210201515,제50조3항,경상북도 울릉군 울릉읍 도동길 154  전한슈퍼 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210201318,제50조3항,경상북도 울릉군 울릉읍 도동3길 25  컴포즈커피 앞,,,,,,,,,,,,,,,,,,,,,,,,,,
202211041534,제73조2항,경상북도 울릉군 도동2길 62,,,,,,,,,,,,,,,,,,,,,,,,,,
202210210927,제50조3항,경북 울릉군 울릉읍 도동리 300-1  울릉군 수협 근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202210210929,제50조3항,경상북도 울릉군 울릉읍 울릉순환로 215  CU근처,,,,,,,,,,,,,,,,,,,,,,,,,,
202211092000,제54조1항,경상북도 울릉군 도동2길 62 울릉의료원,,,,,,,,,,,,,,,,,,,,,,,,,,
202212050925,제54조1항,경상북도 울릉군 도동1길 5-3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
